id,iid,project_id,title,description,state,created_at,updated_at,merged_at,closed_at,target_branch,source_branch,user_notes_count,upvotes,downvotes,assignees,reviewers,source_project_id,target_project_id,labels,work_in_progress,merge_when_pipeline_succeeds,merge_status,sha,squash_commit_sha,should_remove_source_branch,force_remove_source_branch,web_url,squash,has_conflicts,author_id,assignee_id,milestone_id,merged_by_id,closed_by_id,time_estimate,total_time_spent,human_time_estimate,human_total_time_spent
99,45,126,Dev,,merged,2022-08-31T07:49:48.151000Z,2022-08-31T07:50:04.311000Z,2022-08-31T07:50:04.367000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,334701804990a33a2bf94805ead461b304873bf3,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/45,False,False,60,60,,60,,0,0,,
88,44,126,Test,,merged,2022-07-28T11:51:15.191000Z,2022-07-28T11:52:13.816000Z,2022-07-28T11:51:25.859000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,9c073ec18039b489f766d8f8d4b013b627f35237,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/44,False,False,60,60,,60,,0,0,,
87,43,126,Dev,,merged,2022-07-28T11:50:26.353000Z,2022-07-28T11:50:33.334000Z,2022-07-28T11:50:33.370000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,d3a9c4c14b57934e2f80aa70ae72e83f726edd76,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/43,False,False,60,60,,60,,0,0,,
85,42,126,Test,,merged,2022-07-26T13:39:29.260000Z,2022-07-26T13:39:46.118000Z,2022-07-26T13:39:46.165000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,126f231d012bbb21259a3757dd6deae65a50baaf,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/42,False,False,60,60,,60,,0,0,,
84,41,126,Dev,,merged,2022-07-26T13:38:23.560000Z,2022-07-26T13:38:36.852000Z,2022-07-26T13:38:36.922000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,4003fd9171eee030674fe1519c7fe9be97f18b2d,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/41,False,False,60,60,,60,,0,0,,
83,40,126,Dev,,merged,2022-07-21T12:29:36.154000Z,2022-07-21T12:30:19.497000Z,2022-07-21T12:30:19.617000Z,,test,dev,0,0,0,[60],[60],126,126,[],False,False,can_be_merged,9582c61962e214f3bffadda3c274cd5e0d9c984c,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/40,False,False,60,60,,60,,0,0,,
72,39,126,Test,,merged,2022-05-16T12:48:34.218000Z,2022-05-16T12:48:46.537000Z,2022-05-16T12:48:46.610000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,629186e7bdbe32b01a64b37658b92edad042d8a9,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/39,False,False,60,60,,60,,0,0,,
71,38,126,Dev,,merged,2022-05-16T12:46:49.216000Z,2022-05-16T12:47:05.884000Z,2022-05-16T12:47:05.927000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,0a8d1d5da958678fc27aca57b37d08ad8ad47e9b,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/38,False,False,60,60,,60,,0,0,,
70,37,126,Dev,,merged,2022-05-16T09:00:30.278000Z,2022-05-16T09:00:54.571000Z,2022-05-16T09:00:54.632000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,f782a0b05302a357cba41facec1edc3137885f8f,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/37,False,False,60,60,,60,,0,0,,
69,36,126,Test,,merged,2022-05-16T08:57:39.438000Z,2022-05-16T08:57:59.350000Z,2022-05-16T08:57:59.435000Z,,dev,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,4d86f755e021f7dcd28fb97379f337812b887e0d,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/36,False,False,60,60,,60,,0,0,,
68,35,126,Dev,,merged,2022-05-05T14:13:54.683000Z,2022-05-05T14:14:27.896000Z,2022-05-05T14:14:27.989000Z,,test,Dev,0,0,0,[],[],126,126,[],False,False,can_be_merged,ca6ecc1e82c6ba44f90d8d4dea83b074883e38e4,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/35,False,False,60,,,60,,0,0,,
67,34,126,Merge Umantis package,,closed,2022-05-05T14:05:53.017000Z,2022-05-05T14:12:44.361000Z,,2022-05-05T14:12:44.387000Z,DevSecond_schaerhrdata,test,0,0,0,[],[],126,126,[],False,False,cannot_be_merged,f0df5a19844c2ff546c12797179435feacf133cd,,False,True,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/34,False,True,60,,,,60,0,0,,
66,33,126,Dev second schaerhrdata,,merged,2022-05-05T14:01:13.859000Z,2022-05-05T14:14:27.799000Z,2022-05-05T14:14:27.872000Z,,test,DevSecond_schaerhrdata,0,0,0,[60],[],126,126,[],False,False,cannot_be_merged_recheck,ca6ecc1e82c6ba44f90d8d4dea83b074883e38e4,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/33,False,False,60,60,,60,,0,0,,
65,32,126,Test,,merged,2022-03-29T08:57:59.551000Z,2022-03-29T08:58:07.214000Z,2022-03-29T08:58:07.377000Z,,DevSecond_schaerhrdata,test,0,0,0,[],[],126,126,[],False,False,can_be_merged,f49f97f51ba39e06fc5273fa5dbfcc1d999e792c,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/32,False,False,60,,,60,,0,0,,
64,31,126,Test,,merged,2022-03-07T14:46:44.111000Z,2022-03-07T14:46:51.904000Z,2022-03-07T14:46:51.925000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,c7566a0c12d28a7f9e79c52f7543eab8d3bfb674,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/31,False,False,60,60,,60,,0,0,,
